dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain
1751468400,"{'temp': 298.78, 'feels_like': 298.63, 'temp_min': 297.24, 'temp_max': 298.78, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 885, 'humidity': 47, 'temp_kf': 1.54}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 69},"{'speed': 2.85, 'deg': 184, 'gust': 4.5}",10000,0.0,{'pod': 'd'},2025-07-02 15:00:00,
1751479200,"{'temp': 294.88, 'feels_like': 294.86, 'temp_min': 292.55, 'temp_max': 294.88, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 885, 'humidity': 67, 'temp_kf': 2.33}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 65},"{'speed': 1.66, 'deg': 184, 'gust': 3.72}",10000,0.0,{'pod': 'n'},2025-07-02 18:00:00,
1751490000,"{'temp': 292.41, 'feels_like': 292.43, 'temp_min': 292.41, 'temp_max': 292.41, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 885, 'humidity': 78, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 57},"{'speed': 1.19, 'deg': 184, 'gust': 2.46}",10000,0.07,{'pod': 'n'},2025-07-02 21:00:00,
1751500800,"{'temp': 291.25, 'feels_like': 291.2, 'temp_min': 291.25, 'temp_max': 291.25, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 884, 'humidity': 80, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 69},"{'speed': 0.66, 'deg': 100, 'gust': 0.85}",10000,0.07,{'pod': 'n'},2025-07-03 00:00:00,
1751511600,"{'temp': 291.95, 'feels_like': 291.9, 'temp_min': 291.95, 'temp_max': 291.95, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 885, 'humidity': 77, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 1.12, 'deg': 94, 'gust': 1.5}",10000,0.19,{'pod': 'n'},2025-07-03 03:00:00,
1751522400,"{'temp': 294.71, 'feels_like': 294.7, 'temp_min': 294.71, 'temp_max': 294.71, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 887, 'humidity': 68, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 100},"{'speed': 0.52, 'deg': 101, 'gust': 1.41}",10000,0.22,{'pod': 'd'},2025-07-03 06:00:00,
1751533200,"{'temp': 300.42, 'feels_like': 300.44, 'temp_min': 300.42, 'temp_max': 300.42, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 888, 'humidity': 44, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 99},"{'speed': 0.61, 'deg': 161, 'gust': 1.6}",10000,0.29,{'pod': 'd'},2025-07-03 09:00:00,
1751544000,"{'temp': 299.61, 'feels_like': 299.61, 'temp_min': 299.61, 'temp_max': 299.61, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 886, 'humidity': 47, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 98},"{'speed': 3.26, 'deg': 160, 'gust': 3.82}",10000,0.21,{'pod': 'd'},2025-07-03 12:00:00,
1751554800,"{'temp': 296.76, 'feels_like': 296.66, 'temp_min': 296.76, 'temp_max': 296.76, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 885, 'humidity': 57, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 96},"{'speed': 2.32, 'deg': 174, 'gust': 4.64}",10000,0.0,{'pod': 'd'},2025-07-03 15:00:00,
1751565600,"{'temp': 293.83, 'feels_like': 293.86, 'temp_min': 293.83, 'temp_max': 293.83, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 885, 'humidity': 73, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 90},"{'speed': 1.59, 'deg': 190, 'gust': 3.5}",10000,0.22,{'pod': 'n'},2025-07-03 18:00:00,{'3h': 0.13}
1751576400,"{'temp': 293.94, 'feels_like': 293.98, 'temp_min': 293.94, 'temp_max': 293.94, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 886, 'humidity': 73, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 96},"{'speed': 1.31, 'deg': 174, 'gust': 2.65}",10000,0.07,{'pod': 'n'},2025-07-03 21:00:00,
1751587200,"{'temp': 293.29, 'feels_like': 293.34, 'temp_min': 293.29, 'temp_max': 293.29, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 885, 'humidity': 76, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 96},"{'speed': 0.13, 'deg': 167, 'gust': 0.54}",10000,0.09,{'pod': 'n'},2025-07-04 00:00:00,
